"Precip","Temperature","Streamflow"
0.6,0,4951.83175501027
0.6,1,5290.22152909936
0.6,2,5454.37782840972
0.6,3,5115.31402846781
0.6,4,5057.75774801759
0.6,5,4952.85487533719
0.6,6,4589.05252046669
0.7,0,5934.23474358833
0.7,1,6290.3097135597
0.7,2,6541.70046086051
0.7,3,6206.74336553014
0.7,4,6073.84732770846
0.7,5,6044.7643124299
0.7,6,5767.72388439606
0.8,0,6911.87780630249
0.8,1,7307.03682099293
0.8,2,7578.38122710542
0.8,3,7342.49813076827
0.8,4,7131.02105138596
0.8,5,7071.23312709748
0.8,6,6967.72454855217
0.9,0,7907.71856583063
0.9,1,8340.57736629832
0.9,2,8622.02686075213
0.9,3,8493.91417202457
0.9,4,8221.31220486509
0.9,5,8116.50919103418
0.9,6,8064.66672454261
1,0,8929.47369412224
1,1,9394.09773221621
1,2,9675.04099223465
1,3,9653.92237581181
1,4,9336.38223692723
1,5,9184.93744356789
1,6,9118.30838216545
1.1,0,9989.34040458244
1.1,1,10459.759248763
1.1,2,10748.6887661588
1.1,3,10826.2685859646
1.1,4,10471.3873604411
1.1,5,10274.1555616061
1.1,6,10178.689237939
1.2,0,11087.7614308756
1.2,1,11548.6759598159
1.2,2,11844.8010976081
1.2,3,11999.3461452631
1.2,4,11623.6920496969
1.2,5,11382.2169492
1.2,6,11252.4021143973
1.3,0,12242.0520017052
1.3,1,12664.7565821415
1.3,2,12966.7229171189
1.3,3,13134.6733940456
1.3,4,12795.0405224779
1.3,5,12508.6299261017
1.3,6,12342.1756009053
1.4,0,13473.1427556534
1.4,1,13810.4691874456
1.4,2,14111.3873549978
1.4,3,14273.0063772011
1.4,4,13990.6751456167
1.4,5,13658.8661793905
1.4,6,13447.8847540524
